2009-02-21;Sweden;Stockholm;Glen Miller;Heidi Skjerve Quintet;;;
2009-02-27;Norway;Oslo;[sic!], Sagene Kulturverksted;Streifenjunko w/Morten Engebretsen;;streifenjunko;
2009-02-28;Norway;Oslo;Levinsalen, NMH;Streifenjunko w/Christian Wallumrød;;streifenjunko;
2009-03-03;Norway;Oslo;Auditoriet, NMH;Streifenjunko w/Kjell Bjørgeengen;;streifenjunko;
2009-04-19;Germany;Köln;Plattform nicht dokumentierbarer Ereignisse;Streifenjunko;;streifenjunko;
2009-04-20;Netherlands;Amsterdam;DNK;Streifenjunko;;streifenjunko;
2009-04-23;Norway;Inderøy;Nils Aas, Soddjazz;Streifenjunko w/Keith Rowe;;streifenjunko;
2009-04-24;Norway;Oslo;Soria Moria;Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
2009-05-02;Norway;Oslo;Sound of Mu;Streifenjunko;;streifenjunko;
2009-05-14;USA;Philadelphia;Bowerbird;Streifenjunko;;streifenjunko;false
2009-05-16;USA;New York;IBeam;Streifenjunko;;streifenjunko;false
2009-05-17;USA;Cambridge;Lily Pad;Streifenjunko;;streifenjunko;false
2009-05-21;USA;Chicago;Elastic;Streifenjunko;;streifenjunko;false
2009-05-23;USA;Oakland;SOJA;Streifenjunko;;streifenjunko;false
2009-05-26;USA;Oakland;The Compound Gallery;Streifenjunko;;streifenjunko;false
2009-06-15;Norway;Oslo;Levinsalen, NMH;Streifenjunko;;streifenjunko;
2009-07-02;Norway;Kongsberg;Kongsberg Jazz Festival, Galleri Åkern;Streifenjunko;;streifenjunko;
2009-07-14;Norway;Molde;Molde Jazz Festival;Trondheim Jazz Orchestra and Kim Myhr;;;
2009-08-01;Norway;Trondheim;Olavsfestdagene;Trondheim Jazz Orchestra and Kim Myhr;;;
2009-09-12;Germany;Berlin;Ausland;Streifenjunko;;streifenjunko;
2009-09-23;Sweden;Stockholm;Fylkingen;Streifenjunko;;streifenjunko;
2009-09-26;Polen;Bydgoszcz;Mózg;Streifenjunko;;streifenjunko;
2009-09-29;France;Paris;Société des Curiosités;Streifenjunko;;streifenjunko;
2009-10-01;France;Montpellier;Rude Awakening;Streifenjunko;;streifenjunko;
2009-10-02;France;Rennes;La Bascule;Streifenjunko;;streifenjunko;
2009-10-03;France;Nantes;Bitche;Streifenjunko;;streifenjunko;
2009-10-09;Belgium;Antwerpen,  Deurne;Café Jeanne;Streifenjunko;;streifenjunko;
2009-10-10;Belgium;Gent;El Negocito;Streifenjunko;;streifenjunko;
2009-10-11;Belgium;Brussels;Les Ateliers Claus;Streifenjunko;;streifenjunko;
2009-10-31;Norway;Oslo;Soria Moria;Lars Myrvoll;;;
2009-11-09;Norway;Oslo;[sic!], Sagene Kulturhus;Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
2009-11-12;Norway;Oslo;Bidrobon (Biermannsgården);Streifenjunko w/Morten Engebretsen;;streifenjunko;
2009-11-14;Norway;Tromsø;Barentsjazz;Heidi Skjerve Quintet;;;
2010-01-22;Australia;Sydney;The NOWnow Festival;Streifenjunko;;streifenjunko;
2010-01-28;Australia;Brisbane;The Judith Wright Centre of Contemporary Arts;Streifenjunko;;streifenjunko;
2010-01-30;Australia;Sydney;The Sound Lounge (SIMA);Streifenjunko;;streifenjunko;
2010-01-31;Australia;Canberra;Street Theatre Two (SOUND OUT 2010);Streifenjunko;;streifenjunko;
2010-02-03;Australia;Melbourne;Horse Bazaar;Streifenjunko;;streifenjunko;
2010-02-07;Australia;Melbourne;Bar Monkey;Streifenjunko;;streifenjunko;
2010-02-10;Norway;Oslo;Victoria Nasjonal Jazzscene;Streifenjunko;;streifenjunko;
2010-02-12;Sweden;Kristianstad;Kristianstad;Trondheim Jazz Orchestra and Kobert;;;
2010-02-13;Sweden;Västerås;Västerås;Trondheim Jazz Orchestra and Kobert;;;
2010-02-18;France;Nantes;Festival Cable#3;Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
2010-02-25;Netherlands;Amsterdam;Paradiso (Sonic Acts XIII - The Poetics of Space);Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
2010-02-27;Norway;Oslo;Sound of Mu (Fritt Fall);Ketil Gutvik;;;
2010-03-03;Norway;Trondheim;Samfundet;Streifenjunko;;streifenjunko;
2010-03-08;Norway;Oslo;Antropos bokhandel;Vojtech Prochazka and Kari Rønnekleiv;;;
2010-03-10;Norway;Oslo;Levinsalen, NMH;Vojtech Prochazka and Kari Rønnekleiv;;;
2010-04-20;Norway;Trondheim;Pøkk, Blæst;Peder Simonsen og Kyrre Laastad;;;
2010-05-09;Sweden;Gothenburg;Skansen Kronan;Streifenjunko w/Rowe/Bjørgeengen;;streifenjunko;
2010-05-26;USA;Chicago;Hideout;Koboku Senju + Streifenjunko;;streifenjunko,kobokusenju;false
2010-05-28;USA;Philadelphia;Ars Nova;Koboku Senju;;kobokusenju;false
2010-05-29;USA;Houston;Nameless Sound;Koboku Senju;;kobokusenju;false
2010-05-30;USA;Dallas;Pheonix Project;Koboku Senju;;kobokusenju;false
2010-05-31;USA;New Orleans;Fair Grinds Coffee House;Koboku Senju;;kobokusenju;false
2010-06-02;USA;San Antonio;SMART Art Project Space;Koboku Senju;;kobokusenju;false
2010-06-11;Norway;Trondheim;Dokkhuset;Trondheim Jazz Orchestra and Eirik Hegdal;;;
2010-06-12;Norway;Trondheim;St. Olavs Hospital;Trondheim Jazz Orchestra and Eirik Hegdal;;;
2010-06-25;Russia;St. Petersburg;Experimental Sound Gallery;Streifenjunko;;streifenjunko;
2010-07-14;Norway;Oslo;Sound of Mu;Håvard Volden;;;
2010-07-31;Sweden;Dala-Floda;Hagenfesten, Dala-Flodas kyrka;Streifenjunko;;streifenjunko;
2010-09-15;Norway;Trondheim;Olavshallen;Trondheim Jazz Orchestra;;;
2010-09-28;Norway;Oslo;Oslo Jazzhus;Solo;;;
2010-09-30;Norway;Oslo;Soria Moria;Trondheim Jazz Orchestra and Eirik Hegdal;;;
2010-10-01;Norway;Brandbu;Hadeland Jazzforum;Trondheim Jazz Orchestra and Eirik Hegdal;;;
2010-10-03;Norway;Høvik;Henie Onstad kunstsenter;Streifenjunko;;streifenjunko;
2010-10-05;Norway;Arendal;Arendal Jazzklubb;Trondheim Jazz Orchestra and Eirik Hegdal;;;
2010-10-15;Norway;Oslo;Lindemansalen, NMH;Streifenjunko / De Unges Lindemanpris;;streifenjunko;
2010-10-30;Norway;Oslo;Sound of Mu (Fritt Fall);Solo;;;
2010-11-18;Norway;Trondheim;Samfundet;Trondheim Jazz Orchestra and Kobert;;;
2010-11-20;Norway;Oslo;Victoria Nasjonal Jazzscene;Trondheim Jazz Orchestra and Kobert;;;
2010-12-10;Norway;Oslo;Riksscenen;Streifenjunko;;streifenjunko;
2010-12-11;Norway;Oslo;Sound of Mu (Fritt Fall);Solo;;;
2011-02-17;Norway;Oslo;Kulturkirken Jacob;Jan Martin Smørdal and Acoustic Accident;;;
2011-02-18;Norway;Oslo;John Dee;Jan Martin Smørdal and Acoustic Accident;;;
2011-02-19;Norway;Oslo;Antropos bokhandel;Streifenjunko with Sheriff of Nothingness;;streifenjunko;
2011-02-20;Norway;Oslo;Litteraturhuset;Streifenjunko with Sheriff of Nothingness;;streifenjunko;
2011-04-01;France;Paris;Le Trianon (Qwartz);Streifenjunko;;streifenjunko;
2011-04-30;Norway;Rjukan;Villa Gryta (SMALT);Streifenjunko;;streifenjunko;
2011-05-18;Norway;Bergen;Galleri 3,14;Koboku Senju;;kobokusenju;
2011-05-20;Italy;Bologna;Teatro San Leonardo (Angelica Festival);Koboku Senju;;kobokusenju;
2011-05-21;Belgium;Brussels;Q-O2 werkplaats;Koboku Senju;;kobokusenju;
2011-05-23;UK;London;Café Oto;Koboku Senju;;kobokusenju;
2011-05-24;UK;London;Café Oto;Koboku Senju + Streifenjunko;;streifenjunko,kobokusenju;
2011-05-26;UK;Manchester;Castle Hotel;Koboku Senju;;kobokusenju;
2011-05-27;UK;Oxford;Art Jericho;Koboku Senju;;kobokusenju;
2011-05-28;Switzerland;Zürich;Rote Fabrik (TAKTLOS);Koboku Senju;;kobokusenju;
2011-05-29;Switzerland;Geneva;Cave12;Koboku Senju;;kobokusenju;
2011-05-31;Norway;Oslo;Biermannsgården (Bidrobon);Koboku Senju;;kobokusenju;
2011-06-07;Norway;Oslo;Mir / BLOW UP!;Streifenjunko;;streifenjunko;
2011-06-11;Norway;Surnadal;Øverlandet gard (Vårsøghelga);Streifenjunko;;streifenjunko;
2011-07-22;Norway;Molde;Molde Jazz Festival;Trondheim Jazz Orchestra and Dave Holland;;;
2011-08-20;Norway;Oslo;Mir / BLOW OUT!;Streifenjunko w/Sidsel Endresen;;streifenjunko;
2011-08-31;Norway;Oslo;Caféteateret, Grønland;Koboku Senju;;kobokusenju;
2011-09-02;Norway;Kristiansand;Agder Teater (Punkt);Koboku Senju;;;
2011-09-22;Norway;Oslo;IKM / Grønland;Christian Wallumrød Ensemble;;;
2011-09-23;Norway;Bergen;Bergen Jazzforum;Christian Wallumrød Ensemble;;;
2011-10-06;Norway;Oslo;Ny Musikk, Platousgate 18;Streifenjunko;;streifenjunko;
2011-10-07;Norway;Oslo;Ny Musikk, Platousgate 18;Streifenjunko;;streifenjunko;
2011-10-10;Finland;Helsinki;Tulkinnanvaraista;Streifenjunko;;streifenjunko;
2011-10-11;Finland;Tampere;Telakka;Streifenjunko;;streifenjunko;
2011-10-11;Finland;Helsinki;Sibelius Academy;Streifenjunko;;streifenjunko;
2011-10-20;UK;Gateshead;The Sage;Christian Wallumrød Ensemble;;;
2011-10-22;UK;London;Kings Place;Christian Wallumrød Ensemble;;;
2011-10-23;UK;London;BBC Late Junction;Christian Wallumrød Ensemble;;;
2011-10-24;UK;Bristol;St George;Christian Wallumrød Ensemble;;;
2011-10-25;UK;Manchester;RNCM;Christian Wallumrød Ensemble;;;
2011-10-26;UK;York;University of York;Christian Wallumrød Ensemble;;;
2011-10-29;Norway;Nesodden;Vanntårnet, Tangen;Streifenjunko;;streifenjunko;
2011-11-04;Norway;Oslo;Levinsalen, NMH;Vojtech Prochazka and Kari Rønnekleiv;;;
2011-11-15;Norway;Trondheim;Dokkhuset;Trondheim Jazz Orchestra and Magic Pocket;;;
2011-11-16;Norway;Hemnesberget;;Trondheim Jazz Orchestra and Magic Pocket;;;
2011-11-17;Norway;Tromsø;Barentsjazz;Trondheim Jazz Orchestra and Magic Pocket;;;
2011-12-02;Norway;Bergen;Landmark;Streifenjunko;;streifenjunko;
2011-12-17;Norway;Oslo;Fritt Fall / Sound of Mu;Espen Reinertsen solo;;;
2012-02-09;Switzerland;Lausanne;Théâtre 2.21;Streifenjunko;;streifenjunko;
2012-02-15;Germany;Leipzig;Alte Handelsbörse;Christian Wallumrød Ensemble;;;
2012-02-16;Germany;Berlin;Passionskirche;Christian Wallumrød Ensemble;;;
2012-02-28;Norway;Oslo;NMH;Christian Meaas Svendsen;;;
2012-02-29;Norway;Oslo;Bidrobon (Biermannsgården);Christian Meaas Svendsen;;;
2012-03-09;Norway;Oslo;Bidrobon (Biermannsgården);Vojtech Prochazka and Kari Rønnekleiv;;;
2012-03-15;Norway;Trondheim;Dokkhuset;Christian Wallumrød Ensemble;;;
2012-03-16;Norway;Oslo;Riksscenen;Christian Wallumrød Ensemble;;;
2012-03-31;Norway;Voss;Vossajazz / Fraktgodsen;Trondheim Jazz Orchestra and Sofia Jernberg;;;
2012-04-30;Italy;Bolzano;Museion;Christian Wallumrød Ensemble;;;
2012-05-02;Italy;Modena;Galleria Civica;Christian Wallumrød Ensemble;;;
2012-05-03;Italy;Brescia;Auditorium San Barnaba;Christian Wallumrød Ensemble;;;
2012-05-04;Italy;Padova;Ostinati 2012 festival;Christian Wallumrød Ensemble;;;
2012-06-07;Norway;Oslo;Filmens hus (Ny Musikk);The Great White Silence (movie);;;
2012-08-02;Norway;Bøgrend;Bøgrend Autofest;Streifenjunko;;streifenjunko;
2012-08-25;Norway;Oslo;Bidrobon (Biermannsgården);Streifenjunko RELEASE!;;streifenjunko;
2012-09-11;Norway;Oslo;Ultima;Trondheim Jazz Orchestra and Kim Myhr;;;
2012-09-28;China;Beijing;Zajia;Streifenjunko;;streifenjunko;
2012-09-29;China;Beijing;Zajia;Streifenjunko;;streifenjunko;
2012-10-02;China;Kunming;TCG Nordica;Streifenjunko;;streifenjunko;
2012-10-03;China;Shanghai;696 Live Bar;Streifenjunko;;streifenjunko;
2012-10-04;China;Hangzhou;Jz Club;Streifenjunko;;streifenjunko;
2012-10-05;China;Changsha;Fuyou Club;Streifenjunko;;streifenjunko;
2012-10-07;China;Guangzhou;FIsh Pan Art Studio;Streifenjunko;;streifenjunko;
2012-10-08;China;Shenzhen;Oct-Loft Jazz Festival;Streifenjunko;;streifenjunko;
2012-10-11;Norway;Inderøy;Nils Aas galleri;With Ola Høyer/Alexander Zethson;;;
2012-10-18;Norway;Oslo;NMH, Levinsalen;With Vilde and Inga;;;
2012-10-23;Norway;Trondheim;Pøkk, Blæst;Streifenjunko;;streifenjunko;
